nom_clean,nom_gare,x,y,Trafic,Ville
ABBESSES,Abbesses,651449.5655,6865156.6779,2450498,Paris
ALESIA,Alésia,650605.2307,6858891.5557,5113245,Paris
ALEXANDREDUMAS,Alexandre Dumas,655576.9894,6861985.8376,3668682,Paris
ALMAMARCEAU,Alma-Marceau,648719.8026,6862975.3829,4561735,Paris
ANATOLEFRANCE,Anatole France,647574.9141,6866023.2122,3734650,Levallois-Perret
ANVERS,Anvers,651901.2249,6864961.0235,6047635,Paris
ARGENTINE,Argentine,647874.6513,6864186.9211,2932605,Paris
ARTSETMETIERS,Arts et Métiers,652809.2865,6863002.4359,4235686,Paris
ASNIERESGENNEVILLIERSLESCOURTILLES,Les Courtilles-Asnières-Gennevilliers,647552.6733,6870324.1848,4233814,Asnières sur Seine
ASSEMBLEENATIONALE,Assemblée Nationale,650183.7135,6862520.0466,1131202,Paris
AUBERVILLIERSPANTINQUATRECHEMINS,Aubervilliers-Pantin (4 Chemins),655450.6264,6867255.7816,7785492,Aubervilliers
AVENUEEMILEZOLA,Avenue Émile Zola,648293.5441,6861005.6876,1506963,Paris
AVRON,Avron,655847.3058,6861442.5619,2038056,Paris
BALARD,Balard,647015.7484,6859784.1873,6028656,Paris
BARBESROCHECHOUART,Barbès-Rochechouart,652315.6291,6865020.7075,9337425,Paris
BASILIQUEDESTDENIS,Basilique de Saint-Denis,653069.272,6870918.4484,4894705,Saint Denis
BASTILLE,Bastille,653721.5234,6861566.9178,13172392,Paris
BELAIR,Bel Air,656030.6977,6860310.0664,2406187,Paris
BELLEVILLE,Belleville,654272.2071,6863716.4009,11755857,Paris
BERAULT,Bérault,658110.066,6860754.1783,3182589,Vincennes
BERCY,Bercy,654461.522,6860173.5295,6700350,Paris
BIBLIOTHEQUEFRANCOISMITTERRAND,Bibliothèque François Mitterrand,654173.3908,6859062.6022,18770034,Paris
BILLANCOURT,Billancourt,644110.7295,6859386.6609,3348058,Boulogne Billancourt
BIRHAKEIM,Bir-Hakeim (Grenelle),647853.8595,6861779.4605,8772981,Paris
BLANCHE,Blanche,651007.2769,6865089.7195,4120807,Paris
BOBIGNYPABLOPICASSO,Bobigny-Pablo Picasso,659623.938,6867515.9438,8262452,Bobigny
BOBIGNYPANTINRAYMONDQUENEAU,Bobigny-Pantin (Raymond Queneau),657865.8989,6866314.1329999985,2957528,Pantin
BOISSIERE,Boissière,647920.0418,6863228.9678,2180159,Paris
BOLIVAR,Bolivar,654100.662,6864715.5006,575968,Paris
BONNENOUVELLE,Bonne Nouvelle,652356.5489,6863544.515,5025192,Paris
BOTZARIS,Botzaris,655197.2716,6864557.9604,1016993,Paris
BOUCICAUT,Boucicaut,647739.0763,6860351.7535,3403615,Paris
BOULOGNEJEANJAURES,Boulogne-Jean Jaurès,644139.5371,6860486.666,3963135,Boulogne Billancourt
BOULOGNEPONTDESTCLOUD,Boulogne-Pont de Saint-Cloud,643378.5475,6860353.9039,3358482,Boulogne Billancourt
BOURSE,Bourse,651638.0039,6863387.2034,3596746,Paris
BREGUETSABIN,Bréguet-Sabin,653789.9847,6861973.5003,2351237,Paris
BROCHANT,Brochant,650151.8308,6865834.137,3418061,Paris
BUTTESCHAUMONT,Buttes-Chaumont,654646.2892,6864454.645,560675,Paris
BUZENVAL,Buzenval,656047.1453,6861474.6081,2071421,Paris
CADET,Cadet,651894.4424,6864185.1221,3338778,Paris
CAMBRONNE,Cambronne,648847.9145,6861054.9765,3286006,Paris
CAMPOFORMIO,Campo Formio,652935.9416,6859684.6612,1369978,Paris
CARDINALLEMOINE,Cardinal Lemoine,652417.6279,6860930.0204,1753554,Paris
CARREFOURPLEYEL,Carrefour Pleyel,651874.6896,6869042.8996,2657021,Saint Denis
CENSIERDAUBENTON,Censier-Daubenton,652420.525,6860243.8862,3514620,Paris
CHAMPSELYSEESCLEMENCEAU,Champs-Élysées-Clémenceau,649643.8307,6863316.2783,4113353,Paris
CHARDONLAGACHE,Chardon Lagache,646165.0737,6860823.2591,718908,Paris
CHARENTONECOLES,Charenton-Écoles,656955.2248,6858107.8489,3132036,Charenton
CHARLESDEGAULLEETOILE,Charles de Gaulle-Étoile,648331.6965,6864073.8346,8181646,Paris
CHARLESMICHELS,Charles Michels,647601.6846,6860957.9773,4865336,Paris
CHARONNE,Charonne,654915.2006,6861791.1422,4174673,Paris
